student_id,student_name,student_date,student_group,student_number,student_email,student_passport,student_snils,student_inn,student_gto,student_motherName,student_motherNumber,student_motherEmail,student_fatherName,student_fatherNumber,student_fatherEmail,student_reg,student_live,student_mark
1,Никита Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
2,Алексей Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
3,Федор Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
4,Антон Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
5,Станислав Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
6,Илья Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
7,Кирилл Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
8,Макс Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
9,Николай Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
10,Вадим Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
11,Никита Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
12,Алексей Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
13,Федор Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
14,Антон Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
15,Станислав Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
16,Илья Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
17,Кирилл Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
18,Макс Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
19,Николай Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
20,Вадим Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
21,Никита Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
22,Алексей Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
23,Федор Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
24,Антон Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
25,Станислав Буянов,24.01.2005,1,88005553535,bruh@mail.ru,1234 567890,123-456-789 00,123456789012,12-34-567890,Мамина М.М.,880012345678,bruh@mail.ru,Папин П.П.,880012345678,bruh@mail.ru,г. Москва,г. Москва,5
